prototype,pc,opcode,name,A,B,C,D,mode,flag,flag_b,flag_c
0,141,0,OP_000,32,37,43,0,0,False,True,False
0,142,7,OP_007,31,31,32,0,0,False,False,False
0,143,2,OP_002,31,0,0,0,0,False,False,False
0,144,33,OP_033,"[32, 33, 34]","[38, 40, 41]",None,None,2,False,False,False
0,145,72,OP_072,30,4,0,0,0,False,False,False
0,146,44,OP_044,30,0,0,0,0,False,False,False
0,147,63,OP_063,26,0,2,0,0,False,False,False
0,148,12,OP_012,26,149,92,0,0,False,False,False
0,149,11,OP_011,47,150,18,0,0,False,False,False
0,150,0,OP_000,26,35,43,0,0,False,True,False
0,151,1,OP_001,24,25,26,0,0,False,False,False
0,152,3,OP_003,"[25, 26]","[42, 4]",None,None,2,False,False,False
0,153,16,OP_016,266,2,0,0,0,False,False,False
0,154,167,OP_167,3,25,-18,266,0,False,False,False
0,155,1,OP_001,24,25,26,0,0,False,False,False
0,156,3,OP_003,"[25, 26]","[43, 4]",None,None,2,False,False,False
0,157,1,OP_001,24,25,26,0,0,False,False,False
0,158,3,OP_003,"[25, 26]","[44, 4]",None,None,2,False,False,False
0,159,16,OP_016,267,2,0,0,0,False,False,False
0,160,182,OP_182,-10,25,31,267,0,False,False,False
0,161,1,OP_001,24,25,26,0,0,False,False,False
0,162,3,OP_003,"[25, 26]","[5, 4]",None,None,2,False,False,False
0,163,1,OP_001,24,25,26,0,0,False,False,False
0,164,3,OP_003,"[25, 26]","[45, 4]",None,None,2,False,False,False
0,165,1,OP_001,24,25,26,0,0,False,False,False
0,166,3,OP_003,"[25, 26]","[7, 8]",None,None,2,False,False,False
0,167,16,OP_016,268,2,0,0,0,False,False,False
0,168,177,OP_177,25,2,26,268,0,False,False,False
0,169,1,OP_001,24,25,26,0,0,False,False,False
0,170,3,OP_003,"[25, 26]","[46, 47]",None,None,2,False,False,False
0,171,1,OP_001,24,25,26,0,0,False,False,False
0,172,3,OP_003,"[25, 26]","[48, 49]",None,None,2,False,False,False
0,173,1,OP_001,24,25,26,0,0,False,False,False
0,174,2,OP_002,24,0,0,0,0,False,False,False
0,175,24,OP_024,22,3,2,0,0,False,False,False
0,176,10,OP_010,23,87,58,0,0,False,False,False
0,177,16,OP_016,270,2,0,0,0,False,False,False
0,178,176,OP_176,24,-17,-15,270,0,False,False,False
0,179,4,OP_004,24,50,49,0,0,False,True,False
0,180,9,OP_009,25,22,19,0,0,False,False,False
0,181,16,OP_016,273,2,0,0,0,False,False,False
0,182,183,OP_183,27,51,-9,273,0,False,False,False
0,183,4,OP_004,27,51,86,0,0,False,True,False
0,184,5,OP_005,25,25,27,0,0,False,False,False
0,185,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,186,8,OP_008,27,52,68,0,0,False,False,False
0,187,24,OP_024,25,3,2,0,0,False,False,False
0,188,1,OP_001,23,24,25,0,0,False,False,False
0,189,16,OP_016,274,2,0,0,0,False,False,False
0,190,179,OP_179,24,53,23,274,0,False,False,False
0,191,4,OP_004,24,53,67,0,0,False,True,False
0,192,16,OP_016,276,2,0,0,0,False,False,False
0,193,178,OP_178,25,44,0,276,0,False,False,False
0,194,21,OP_021,25,22,73,0,0,False,False,False
0,195,0,OP_000,27,51,43,0,0,False,True,False
0,196,5,OP_005,25,25,27,0,0,False,False,False
0,197,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,198,8,OP_008,27,53,53,0,0,False,False,False
0,199,24,OP_024,25,3,2,0,0,False,False,False
0,200,16,OP_016,278,2,0,0,0,False,False,False
0,201,180,OP_180,23,24,-15,278,0,False,False,False
0,202,1,OP_001,23,24,25,0,0,False,False,False
0,203,0,OP_000,24,54,43,0,0,False,True,False
0,204,9,OP_009,25,22,19,0,0,False,False,False
0,205,0,OP_000,27,51,43,0,0,False,True,False
0,206,5,OP_005,25,25,27,0,0,False,False,False
0,207,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,208,8,OP_008,27,54,51,0,0,False,False,False
0,209,24,OP_024,25,3,2,0,0,False,False,False
0,210,16,OP_016,280,2,0,0,0,False,False,False
0,211,173,OP_173,18,77,25,280,0,False,False,False
0,212,1,OP_001,23,24,25,0,0,False,False,False
0,213,16,OP_016,282,2,0,0,0,False,False,False
0,214,172,OP_172,12,55,0,282,0,False,False,False
0,215,4,OP_004,24,55,97,0,0,False,True,False
0,216,9,OP_009,25,22,19,0,0,False,False,False
0,217,0,OP_000,27,51,43,0,0,False,True,False
0,218,5,OP_005,25,25,27,0,0,False,False,False
0,219,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,220,8,OP_008,27,55,41,0,0,False,False,False
0,221,24,OP_024,25,3,2,0,0,False,False,False
0,222,1,OP_001,23,24,25,0,0,False,False,False
0,223,0,OP_000,24,56,43,0,0,False,True,False
0,224,9,OP_009,25,22,19,0,0,False,False,False
0,225,16,OP_016,283,2,0,0,0,False,False,False
0,226,169,OP_169,-16,51,6,283,0,False,False,False
0,227,4,OP_004,27,51,89,0,0,False,True,False
0,228,5,OP_005,25,25,27,0,0,False,False,False
0,229,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,230,8,OP_008,27,56,52,0,0,False,False,False
0,231,24,OP_024,25,3,2,0,0,False,False,False
0,232,1,OP_001,23,24,25,0,0,False,False,False
0,233,0,OP_000,24,57,43,0,0,False,True,False
0,234,9,OP_009,25,22,19,0,0,False,False,False
0,235,0,OP_000,27,51,43,0,0,False,True,False
0,236,5,OP_005,25,25,27,0,0,False,False,False
0,237,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,238,8,OP_008,27,57,72,0,0,False,False,False
0,239,24,OP_024,25,3,2,0,0,False,False,False
0,240,1,OP_001,23,24,25,0,0,False,False,False
0,241,0,OP_000,25,56,43,0,0,False,True,False
0,242,7,OP_007,24,23,25,0,0,False,False,False
0,243,16,OP_016,285,2,0,0,0,False,False,False
0,244,170,OP_170,2,68,30,285,0,False,False,False
0,245,4,OP_004,26,58,8,0,0,False,True,False
0,246,5,OP_005,24,24,26,0,0,False,False,False
0,247,6,OP_006,"[24, 25]",None,None,None,3,False,False,False
0,248,8,OP_008,26,59,56,0,0,False,False,False
0,249,24,OP_024,24,3,2,0,0,False,False,False
0,250,0,OP_000,26,56,43,0,0,False,True,False
0,251,57,OP_057,25,23,26,255,0,False,False,False
0,252,31,OP_031,27,58,33,112,0,False,True,False
0,253,5,OP_005,25,25,27,0,0,False,False,False
0,254,6,OP_006,"[25, 26]",None,None,None,3,False,False,False
0,255,8,OP_008,27,60,3,0,0,False,False,False
0,256,24,OP_024,25,3,2,0,0,False,False,False
0,257,0,OP_000,27,56,43,0,0,False,True,False
0,258,7,OP_007,26,23,27,0,0,False,False,False
0,259,0,OP_000,28,61,43,0,0,False,True,False
0,260,5,OP_005,26,26,28,0,0,False,False,False
0,261,6,OP_006,"[26, 27]",None,None,None,3,False,False,False
0,262,8,OP_008,28,62,61,0,0,False,False,False
0,263,24,OP_024,26,3,2,0,0,False,False,False
0,264,0,OP_000,28,56,43,0,0,False,True,False
0,265,7,OP_007,27,23,28,0,0,False,False,False
0,266,16,OP_016,286,2,0,0,0,False,False,False
0,267,171,OP_171,-18,61,16,286,0,False,False,False
0,268,4,OP_004,29,61,3,0,0,False,True,False
0,269,5,OP_005,27,27,29,0,0,False,False,False
0,270,6,OP_006,"[27, 28]",None,None,None,3,False,False,False
0,271,8,OP_008,29,63,96,0,0,False,False,False
0,272,24,OP_024,27,3,2,0,0,False,False,False
0,273,0,OP_000,29,50,43,0,0,False,True,False
0,274,7,OP_007,28,23,29,0,0,False,False,False
0,275,0,OP_000,30,58,43,0,0,False,True,False
0,276,5,OP_005,28,28,30,0,0,False,False,False
0,277,6,OP_006,"[28, 29]",None,None,None,3,False,False,False
0,278,8,OP_008,30,64,61,0,0,False,False,False
0,279,24,OP_024,28,3,2,0,0,False,False,False
0,280,57,OP_057,29,28,1,204,0,False,False,False
0,281,31,OP_031,31,65,94,112,0,False,True,False
0,282,5,OP_005,29,29,31,0,0,False,False,False
0,283,6,OP_006,"[29, 30]",None,None,None,3,False,False,False
0,284,33,OP_033,"[31, 32]","[66, 4]",None,None,2,False,False,False
0,285,34,OP_034,29,4,2,0,0,False,False,False
0,286,16,OP_016,288,2,0,0,0,False,False,False
0,287,175,OP_175,20,30,-32,288,0,False,False,False
0,288,69,OP_069,30,52,2,0,0,False,False,False
0,289,30,OP_030,31,63,99,0,0,False,False,False
0,290,29,OP_029,31,30,38,0,0,False,False,False
0,291,27,OP_027,"[30, 32]","[28, 31]",None,None,2,False,False,False
0,292,0,OP_000,33,67,43,0,0,False,True,False
0,293,5,OP_005,30,30,33,0,0,False,False,False
0,294,6,OP_006,"[30, 31]",None,None,None,3,False,False,False
0,295,9,OP_009,31,32,19,0,0,False,False,False
0,296,10,OP_010,32,70,14,0,0,False,False,False
0,297,3,OP_003,"[33, 34]","[68, 69]",None,None,2,False,False,False
0,298,1,OP_001,32,33,34,0,0,False,False,False
0,299,0,OP_000,33,70,43,0,0,False,True,False
0,300,14,OP_014,34,6,0,0,0,False,False,False
0,301,1,OP_001,32,33,34,0,0,False,False,False
0,302,2,OP_002,32,0,0,0,0,False,False,False
0,303,23,OP_023,30,3,1,0,0,False,False,False
0,304,27,OP_027,"[30, 32]","[28, 31]",None,None,2,False,False,False
0,305,0,OP_000,33,67,43,0,0,False,True,False
0,306,5,OP_005,30,30,33,0,0,False,False,False
0,307,6,OP_006,"[30, 31]",None,None,None,3,False,False,False
0,308,9,OP_009,31,32,19,0,0,False,False,False
0,309,10,OP_010,32,58,89,0,0,False,False,False
0,310,3,OP_003,"[33, 34]","[68, 64]",None,None,2,False,False,False
0,311,1,OP_001,32,33,34,0,0,False,False,False
0,312,0,OP_000,33,70,43,0,0,False,True,False
0,313,14,OP_014,34,7,0,0,0,False,False,False
0,314,1,OP_001,32,33,34,0,0,False,False,False
0,315,2,OP_002,32,0,0,0,0,False,False,False
0,316,23,OP_023,30,3,1,0,0,False,False,False
0,317,27,OP_027,"[30, 32]","[28, 31]",None,None,2,False,False,False
0,318,0,OP_000,33,71,43,0,0,False,True,False
0,319,5,OP_005,30,30,33,0,0,False,False,False
0,320,6,OP_006,"[30, 31]",None,None,None,3,False,False,False
0,321,9,OP_009,31,32,19,0,0,False,False,False
0,322,8,OP_008,32,72,74,0,0,False,False,False
0,323,10,OP_010,33,85,86,0,0,False,False,False
0,324,3,OP_003,"[34, 35]","[68, 73]",None,None,2,False,False,False
0,325,1,OP_001,33,34,35,0,0,False,False,False
0,326,3,OP_003,"[34, 35]","[74, 6]",None,None,2,False,False,False
0,327,1,OP_001,33,34,35,0,0,False,False,False
0,328,0,OP_000,34,75,43,0,0,False,True,False
0,329,14,OP_014,35,8,0,0,0,False,False,False
0,330,1,OP_001,33,34,35,0,0,False,False,False
0,331,2,OP_002,33,0,0,0,0,False,False,False
0,332,15,OP_015,30,4,1,0,0,False,False,False
0,333,27,OP_027,"[30, 32]","[27, 31]",None,None,2,False,False,False
0,334,0,OP_000,33,76,43,0,0,False,True,False
0,335,5,OP_005,30,30,33,0,0,False,False,False
0,336,6,OP_006,"[30, 31]",None,None,None,3,False,False,False
0,337,9,OP_009,31,32,19,0,0,False,False,False
0,338,8,OP_008,32,77,52,0,0,False,False,False
0,339,10,OP_010,33,61,43,0,0,False,False,False
0,340,3,OP_003,"[34, 35]","[74, 78]",None,None,2,False,False,False
0,341,1,OP_001,33,34,35,0,0,False,False,False
0,342,3,OP_003,"[34, 35]","[79, 6]",None,None,2,False,False,False
0,343,1,OP_001,33,34,35,0,0,False,False,False
0,344,3,OP_003,"[34, 35]","[80, 6]",None,None,2,False,False,False
0,345,16,OP_016,289,2,0,0,0,False,False,False
0,346,174,OP_174,33,40,35,289,0,False,False,False
0,347,1,OP_001,33,34,35,0,0,False,False,False
0,348,3,OP_003,"[34, 35]","[81, 4]",None,None,2,False,False,False
0,349,1,OP_001,33,34,35,0,0,False,False,False
0,350,3,OP_003,"[34, 35]","[68, 82]",None,None,2,False,False,False
0,351,1,OP_001,33,34,35,0,0,False,False,False
0,352,3,OP_003,"[34, 35]","[83, 84]",None,None,2,False,False,False
0,353,1,OP_001,33,34,35,0,0,False,False,False
0,354,3,OP_003,"[34, 35]","[85, 86]",None,None,2,False,False,False
0,355,16,OP_016,291,2,0,0,0,False,False,False
0,356,181,OP_181,-14,34,35,291,0,False,False,False
0,357,1,OP_001,33,34,35,0,0,False,False,False
0,358,0,OP_000,34,75,43,0,0,False,True,False
0,359,49,OP_049,35,9,90,0,0,False,False,False
0,360,1,OP_001,33,34,35,0,0,False,False,False
0,361,2,OP_002,33,0,0,0,0,False,False,False
0,362,15,OP_015,30,4,1,0,0,False,False,False
0,363,27,OP_027,"[30, 32]","[27, 31]",None,None,2,False,False,False
0,364,16,OP_016,292,2,0,0,0,False,False,False
0,365,149,OP_149,95,126,-33,292,0,False,False,False
0,366,4,OP_004,33,76,48,0,0,False,True,False
0,367,5,OP_005,30,30,33,0,0,False,False,False
0,368,6,OP_006,"[30, 31]",None,None,None,3,False,False,False
0,369,9,OP_009,31,32,19,0,0,False,False,False
0,370,8,OP_008,32,87,36,0,0,False,False,False
0,371,10,OP_010,33,46,78,0,0,False,False,False
0,372,3,OP_003,"[34, 35]","[74, 78]",None,None,2,False,False,False
0,373,1,OP_001,33,34,35,0,0,False,False,False
0,374,3,OP_003,"[34, 35]","[79, 6]",None,None,2,False,False,False
0,375,1,OP_001,33,34,35,0,0,False,False,False
0,376,3,OP_003,"[34, 35]","[80, 6]",None,None,2,False,False,False
0,377,1,OP_001,33,34,35,0,0,False,False,False
0,378,3,OP_003,"[34, 35]","[81, 4]",None,None,2,False,False,False
0,379,1,OP_001,33,34,35,0,0,False,False,False
0,380,3,OP_003,"[34, 35]","[68, 88]",None,None,2,False,False,False
0,381,1,OP_001,33,34,35,0,0,False,False,False
0,382,3,OP_003,"[34, 35]","[83, 89]",None,None,2,False,False,False
0,383,16,OP_016,294,2,0,0,0,False,False,False
0,384,158,OP_158,33,34,-23,294,0,False,False,False
0,385,1,OP_001,33,34,35,0,0,False,False,False
0,386,3,OP_003,"[34, 35]","[85, 86]",None,None,2,False,False,False
0,387,1,OP_001,33,34,35,0,0,False,False,False
0,388,0,OP_000,34,75,43,0,0,False,True,False
0,389,49,OP_049,35,10,89,0,0,False,False,False
0,390,1,OP_001,33,34,35,0,0,False,False,False
0,391,2,OP_002,33,0,0,0,0,False,False,False
0,392,15,OP_015,30,4,1,0,0,False,False,False
0,393,27,OP_027,"[30, 32]","[27, 31]",None,None,2,False,False,False
0,394,0,OP_000,33,90,43,0,0,False,True,False
0,395,5,OP_005,30,30,33,0,0,False,False,False
0,396,6,OP_006,"[30, 31]",None,None,None,3,False,False,False
0,397,9,OP_009,31,32,19,0,0,False,False,False
0,398,8,OP_008,32,91,47,0,0,False,False,False
0,399,10,OP_010,33,73,55,0,0,False,False,False
0,400,0,OP_000,34,92,43,0,0,False,True,False
0,401,45,OP_045,35,2,0,0,0,False,False,False
0,402,1,OP_001,33,34,35,0,0,False,False,False
0,403,3,OP_003,"[34, 35]","[74, 96]",None,None,2,False,False,False
0,404,1,OP_001,33,34,35,0,0,False,False,False
0,405,3,OP_003,"[34, 35]","[97, 6]",None,None,2,False,False,False
0,406,1,OP_001,33,34,35,0,0,False,False,False
0,407,3,OP_003,"[34, 35]","[68, 98]",None,None,2,False,False,False
0,408,1,OP_001,33,34,35,0,0,False,False,False
0,409,2,OP_002,33,0,0,0,0,False,False,False
0,410,15,OP_015,30,4,1,0,0,False,False,False
0,411,10,OP_010,30,92,99,0,0,False,False,False
0,412,0,OP_000,32,93,43,0,0,False,True,False
0,413,16,OP_016,295,2,0,0,0,False,False,False
0,414,147,OP_147,93,0,37,295,0,False,False,False
0,415,10,OP_010,33,23,61,0,0,False,False,False
0,416,0,OP_000,34,99,43,0,0,False,True,False
0,417,17,OP_017,36,99,216,0,0,False,True,False
0,418,0,OP_000,37,100,43,0,0,False,True,False
0,419,7,OP_007,36,36,37,0,0,False,False,False
0,420,2,OP_002,36,0,0,0,0,False,False,False
0,421,33,OP_033,"[37, 38, 39]","[101, 47, 102]",None,None,2,False,False,False
0,422,34,OP_034,35,4,2,0,0,False,False,False
0,423,1,OP_001,33,34,35,0,0,False,False,False
0,424,3,OP_003,"[34, 35]","[103, 104]",None,None,2,False,False,False
0,425,1,OP_001,33,34,35,0,0,False,False,False
0,426,1,OP_001,30,32,33,0,0,False,False,False
0,427,16,OP_016,298,2,0,0,0,False,False,False
0,428,120,OP_120,94,122,31,298,0,False,False,False
0,429,4,OP_004,32,94,48,0,0,False,True,False
0,430,10,OP_010,33,23,54,0,0,False,False,False
0,431,0,OP_000,34,99,43,0,0,False,True,False
0,432,17,OP_017,36,99,216,0,0,False,True,False
0,433,16,OP_016,299,2,0,0,0,False,False,False
0,434,100,OP_100,37,100,-31,299,0,False,False,False
0,435,4,OP_004,37,100,69,0,0,False,True,False
0,436,7,OP_007,36,36,37,0,0,False,False,False
0,437,2,OP_002,36,0,0,0,0,False,False,False
0,438,33,OP_033,"[37, 38, 39]","[105, 106, 107]",None,None,2,False,False,False
0,439,34,OP_034,35,4,2,0,0,False,False,False
0,440,1,OP_001,33,34,35,0,0,False,False,False
0,441,3,OP_003,"[34, 35]","[103, 108]",None,None,2,False,False,False
0,442,16,OP_016,300,2,0,0,0,False,False,False
0,443,108,OP_108,33,97,-26,300,0,False,False,False
0,444,1,OP_001,33,34,35,0,0,False,False,False
0,445,1,OP_001,30,32,33,0,0,False,False,False
0,446,0,OP_000,32,95,43,0,0,False,True,False
0,447,10,OP_010,33,19,96,0,0,False,False,False
0,448,0,OP_000,34,99,43,0,0,False,True,False
0,449,16,OP_016,302,2,0,0,0,False,False,False
0,450,110,OP_110,36,128,0,302,0,False,False,False
0,451,19,OP_019,36,99,26,0,0,False,True,False
0,452,0,OP_000,37,100,43,0,0,False,True,False
0,453,7,OP_007,36,36,37,0,0,False,False,False
0,454,2,OP_002,36,0,0,0,0,False,False,False
0,455,33,OP_033,"[37, 38, 39]","[109, 110, 111]",None,None,2,False,False,False
0,456,34,OP_034,35,4,2,0,0,False,False,False
0,457,1,OP_001,33,34,35,0,0,False,False,False
0,458,3,OP_003,"[34, 35]","[103, 112]",None,None,2,False,False,False
0,459,1,OP_001,33,34,35,0,0,False,False,False
0,460,16,OP_016,303,2,0,0,0,False,False,False
0,461,96,OP_096,90,47,22,303,0,False,False,False
0,462,1,OP_001,30,32,33,0,0,False,False,False
0,463,16,OP_016,305,2,0,0,0,False,False,False
0,464,166,OP_166,86,27,8,305,0,False,False,False
0,465,21,OP_021,32,27,6,0,0,False,False,False
0,466,0,OP_000,34,71,43,0,0,False,True,False
0,467,5,OP_005,32,32,34,0,0,False,False,False
0,468,6,OP_006,"[32, 33]",None,None,None,3,False,False,False
0,469,8,OP_008,34,113,70,0,0,False,False,False
0,470,10,OP_010,35,80,86,0,0,False,False,False
0,471,3,OP_003,"[36, 37]","[68, 114]",None,None,2,False,False,False
0,472,1,OP_001,35,36,37,0,0,False,False,False
0,473,3,OP_003,"[36, 37]","[74, 6]",None,None,2,False,False,False
0,474,1,OP_001,35,36,37,0,0,False,False,False
0,475,16,OP_016,306,2,0,0,0,False,False,False
0,476,109,OP_109,97,45,-12,306,0,False,False,False
0,477,4,OP_004,36,75,13,0,0,False,True,False
0,478,14,OP_014,37,11,0,0,0,False,False,False
0,479,1,OP_001,35,36,37,0,0,False,False,False
0,480,2,OP_002,35,0,0,0,0,False,False,False
0,481,15,OP_015,32,4,1,0,0,False,False,False
0,482,9,OP_009,32,27,19,0,0,False,False,False
0,483,16,OP_016,307,2,0,0,0,False,False,False
0,484,107,OP_107,34,126,0,307,0,False,False,False
0,485,4,OP_004,34,71,58,0,0,False,True,False
