prototype,index,kind,tag,subtype,value
0,115,string,0,0,Auto Launch Raid [Main Account]
0,116,string,0,0,AddDivider
0,117,string,0,0,Manual Use Only
0,118,string,0,0,AddSlider
0,119,string,0,0,healthPercent
0,120,string,0,0,Health Percent
0,121,string,0,0,Min
0,122,int,1,1,5
0,123,string,0,0,Max
0,124,int,1,1,80
0,125,string,0,0,Rounding
0,126,string,0,0,Compact
0,127,string,0,0,InfiniteLive
0,128,string,0,0,Auto Void Yourself
0,129,string,0,0,Current Floor: Unknown
0,130,string,0,0,autofloor
0,131,string,0,0,Auto Floor
0,132,string,0,0,xRaid
0,133,string,0,0,x
0,134,number,4,1,-20
0,135,int,1,1,20
0,136,string,0,0,yRaid
0,137,string,0,0,y
0,138,string,0,0,zRaid
0,139,string,0,0,z
0,140,int,1,1,7
0,141,string,0,0,Open All Door
0,142,string,0,0,KeyEsp
0,143,string,0,0,Key Esp
0,144,string,0,0,Tp to Key
0,145,string,0,0,Tp to Vault
0,146,string,0,0,Tp to Safe Room
0,147,string,0,0,Tp to Boss Room
0,148,string,0,0,Zombie Raid
0,149,string,0,0,Katana-Man Raid
0,150,string,0,0,Eternity Raid
0,151,string,0,0,Auto Farm
0,152,string,0,0,Void Mob
0,153,string,0,0,Mob Farm
0,154,string,0,0,Mastery Farm
0,155,string,0,0,punchingBag
0,156,string,0,0,Farm Punching Bag
0,157,string,0,0,task
0,158,string,0,0,spawn
0,159,string,0,0,spamParry
0,160,string,0,0,Spam Parry
0,161,string,0,0,distanceFarmMob
0,162,string,0,0,Distance From Mob
0,163,number,4,1,-5
0,164,string,0,0,maxFarmDistance
0,165,string,0,0,Max Farm Distance
0,166,int,1,1,100
0,167,int,1,1,50
0,168,int,1,1,300
0,169,string,0,0,mobFarm
0,170,string,0,0,Farm Mob
0,171,string,0,0,Auto Quest
0,172,string,0,0,FarmMode
0,173,string,0,0,Intercept
0,174,string,0,0,Create
0,175,string,0,0,Mode
0,176,string,0,0,Mission Rewards : 
0,177,string,0,0,RewardsLabel
0,178,string,0,0,AddDependencyBox
0,179,string,0,0,InterceptDelay
0,180,string,0,0,Intercept delay
0,181,number,4,0,0.5
0,182,number,4,0,0.1
0,183,string,0,0,playerName
0,184,string,0,0,Player To Intercept
0,185,string,0,0,Alt Account to intercept
0,186,string,0,0,AutoIntercept
0,187,string,0,0,Auto-Intercept
0,188,string,0,0,Auto Get Lootbox
0,189,string,0,0,MissionType
0,190,string,0,0,Mission Type
0,191,string,0,0,MissionLocation
0,192,string,0,0,Loading...
0,193,string,0,0,Location
0,194,string,0,0,MissionModifiers
0,195,string,0,0,Bloodlust
0,196,string,0,0,Flawless
0,197,string,0,0,Contract Lock
0,198,string,0,0,Stifle
0,199,string,0,0,Blind Path
0,200,string,0,0,Recall
0,201,string,0,0,Modifiers
0,202,string,0,0,MissionDelay
0,203,string,0,0,Mission delay
0,204,string,0,0,EnhancedCleanup
0,205,string,0,0,Enhanced Cleanup Duty
0,206,string,0,0,Better item pickup/turn-in - works on all locations
0,207,string,0,0,EnhancedAftermath
0,208,string,0,0,Enhanced Aftermath Detail
0,209,string,0,0,Improved trash/body handling (works best with Residential Area)
0,210,string,0,0,StayOnPoint
0,211,string,0,0,Goes underground when mobs spawn to avoid damage
0,212,string,0,0,NetworkCheck
0,213,string,0,0,Network Check
0,214,string,0,0,DistanceVoid
0,215,string,0,0,Distance
0,216,int,1,1,200
0,217,int,1,1,2000
0,218,string,0,0,Distance For Voiding Entities
0,219,string,0,0,Void
0,220,string,0,0,Void Entities Within Distance [Selected]
0,221,string,0,0,DisabledTooltip
0,222,string,0,0,I am disabled!
0,223,string,0,0,Disabled
0,224,string,0,0,Visible
0,225,string,0,0,Risky
0,226,string,0,0,freezeMob
0,227,string,0,0,Freeze Mob
0,228,string,0,0,Freeze entities Within Distance [Selected]
0,229,string,0,0,DistanceGrabMax
0,230,string,0,0,Distance Max For Grabbing
0,231,string,0,0,Distance For Grabbing Entities Max
0,232,string,0,0,DistanceGrab
0,233,string,0,0,Distance Mob
0,234,string,0,0,Distance For putting Entities
0,235,string,0,0,grabMob
0,236,string,0,0,Bring Mob
0,237,string,0,0,Bring Entities Within Distance [Selected]
0,238,string,0,0,SetupDependencies
0,239,string,0,0,Player Farm
0,240,string,0,0,Player utils
0,241,string,0,0,Player Auto
0,242,string,0,0,LootBox
0,243,string,0,0,Npc Teleport
0,244,string,0,0,Auto Eat
0,245,string,0,0,WIPE YOURSELF
0,246,string,0,0,Auto Discard
0,247,string,0,0,Common
0,248,string,0,0,itemRarities
0,249,string,0,0,Uncommon
0,250,string,0,0,Rare
0,251,string,0,0,Epic
0,252,string,0,0,Legendary
0,253,string,0,0,Rarity To Discard
0,254,string,0,0,Show Potential Discarded Items
0,255,string,0,0,DoubleClick
0,256,string,0,0,Discard Selected Items
0,257,string,0,0,WIPE YOURSELF BE CAUTIOUS
0,258,string,0,0,eatList
0,259,string,0,0,Heart
0,260,string,0,0,Arm
0,261,string,0,0,Eye
0,262,string,0,0,Leg
0,263,string,0,0,Common Devil Flesh
0,264,string,0,0,Uncommon Devil Flesh
0,265,string,0,0,Rare Devil Flesh
0,266,string,0,0,Epic Devil Flesh
0,267,string,0,0,Eat List
0,268,string,0,0,autoEat
0,269,string,0,0,All in the title digga[7PX is a skidder]
0,270,string,0,0,Some Npc doesnt spawn if your not within range
0,271,string,0,0,npcList
0,272,string,0,0,Refresh List of Npc
0,273,string,0,0,Npc List
0,274,string,0,0,Refresh Npc List
0,275,string,0,0,TP to Selected Npc
0,276,string,0,0,AutoBox
0,277,string,0,0,Auto Open LootBox
0,278,string,0,0,AutoHit
0,279,string,0,0,Auto Hit
0,280,string,0,0,AutoCrit
0,281,string,0,0,Auto Critical
0,282,string,0,0,Auto Critical M1
0,283,string,0,0,AutoEquip
0,284,string,0,0,Auto Equip
0,285,string,0,0,Auto Equip Weapon
0,286,string,0,0,SemiGod
0,287,string,0,0,AutoDodge
0,288,string,0,0,"Doesnt work on all attack, its a 50/50"
0,289,string,0,0,AutoCarry
0,290,string,0,0,Auto Carry
0,291,string,0,0,Auto Carry People
0,292,string,0,0,AutoGrip
0,293,string,0,0,Auto Grip
0,294,string,0,0,Auto Grip People
0,295,string,0,0,AutoSurgery
0,296,string,0,0,Auto Surgery Kit
0,297,string,0,0,Open Pawn Shop
0,298,string,0,0,Open Black Market
0,299,string,0,0,Open Crafting Menue
0,300,string,0,0,playerListFarm
0,301,string,0,0,Refresh Player
0,302,string,0,0,Player List
0,303,string,0,0,InventoryViewer
0,304,string,0,0,Select a Player
0,305,string,0,0,Inventory viewer
0,306,string,0,0,Refresh Players List
0,307,string,0,0,distanceFarmPlayer
0,308,string,0,0,playerFarm
0,309,string,0,0,Farm Player [WARNING]
0,310,string,0,0,Dont Forget to setup Distance to your liking
0,311,string,0,0,Fly
0,312,string,0,0,WASD + Space/Ctrl to move
0,313,string,0,0,AddKeyPicker
0,314,string,0,0,FlyKeybind
0,315,string,0,0,F1
0,316,string,0,0,Toggle
0,317,string,0,0,Fly Keybind
0,318,string,0,0,SyncToggleState
0,319,string,0,0,NoClip
0,320,string,0,0,noClip
0,321,string,0,0,F2
0,322,string,0,0,Noclip
0,323,string,0,0,FlySpeed
0,324,string,0,0,Fly Speed
0,325,string,0,0,WalkSpeed
0,326,string,0,0,walkspeed
0,327,string,0,0,All in the name
0,328,string,0,0,WSKeybind
0,329,string,0,0,F3
0,330,string,0,0,WS Keybind
0,331,string,0,0,WalkSpeedSlider
0,332,string,0,0,WalkSpeed Value
0,333,int,1,1,35
0,334,string,0,0,AntiVoid
0,335,string,0,0,Anti Void
0,336,string,0,0,Prevents falling into void
0,337,string,0,0,OnChanged
0,338,string,0,0,OnClick
0,339,string,0,0,Heartbeat
0,340,string,0,0,Player Esp Section
0,341,string,0,0,ESP_Master
0,342,string,0,0,Enabled
0,343,string,0,0,ESP_TeamCheck
0,344,string,0,0,Team Check
0,345,string,0,0,ESP_Box
0,346,string,0,0,Boxes
0,347,string,0,0,ESP_BoxType
0,348,string,0,0,Corner
0,349,string,0,0,Box
0,350,string,0,0,Type
0,351,string,0,0,ESP_Health
0,352,string,0,0,Healthbar
0,353,string,0,0,ESP_HealthPos
0,354,string,0,0,Right
0,355,string,0,0,Top
0,356,string,0,0,Bottom
0,357,string,0,0,Position
0,358,string,0,0,ESP_HealthStart
0,359,string,0,0,AddColorPicker
0,360,string,0,0,ESP_HealthMid
0,361,string,0,0,ESP_HealthEnd
0,362,string,0,0,ESP_HealthWidth
0,363,string,0,0,Healthbar Thickness
0,364,int,1,1,3
0,365,string,0,0,ESP_Posture
0,366,string,0,0,Posture Bar
0,367,string,0,0,ESP_PosturePos
0,368,int,1,1,2
0,369,string,0,0,ESP_PostureColor
0,370,int,1,1,207
0,371,int,1,1,125
0,372,string,0,0,ESP_PostureWidth
0,373,string,0,0,Posture Thickness
0,374,string,0,0,ESP_Name
0,375,string,0,0,Name
0,376,string,0,0,ESP_NameColor
0,377,int,1,1,235
0,378,int,1,1,225
0,379,string,0,0,ESP_NameSize
0,380,string,0,0,Name Size
0,381,int,1,1,11
0,382,int,1,1,16
0,383,string,0,0,ESP_Rank
0,384,string,0,0,Rank
0,385,string,0,0,ESP_Weapon
0,386,string,0,0,Weapon
0,387,string,0,0,ESP_WeaponColor
0,388,string,0,0,ESP_WeaponSize
0,389,string,0,0,Weapon Size
0,390,string,0,0,ESP_Distance
0,391,string,0,0,ESP_DistanceColor
0,392,string,0,0,ESP_DistanceSize
0,393,string,0,0,Distance Size
0,394,string,0,0,ServerSkeleton
0,395,string,0,0,Skeleton
0,396,string,0,0,ServerSkeletonColor
0,397,string,0,0,ServerSkeletonWidth
0,398,string,0,0,Skeleton Thickness
0,399,number,4,0,1.5
0,400,int,1,1,4
0,401,string,0,0,ESP_Chams
0,402,string,0,0,Chams
0,403,string,0,0,ESP_ChamsColor
0,404,int,1,1,170
0,405,int,1,1,110
0,406,string,0,0,ESP_ChamsTransparency
0,407,string,0,0,Chams Transparency
0,408,string,0,0,Mob ESP Section
0,409,string,0,0,Mob_Master
0,410,string,0,0,Mob_Box
0,411,string,0,0,Mob_BoxType
0,412,string,0,0,Mob_Health
0,413,string,0,0,Mob_HealthPos
0,414,string,0,0,Mob_HealthStart
0,415,string,0,0,Mob_HealthMid
0,416,string,0,0,Mob_HealthEnd
0,417,string,0,0,Mob_HealthWidth
0,418,string,0,0,Mob_Name
0,419,string,0,0,Mob_NameColor
0,420,string,0,0,Mob_NameSize
0,421,string,0,0,Name Text Size
0,422,string,0,0,Mob_Distance
0,423,string,0,0,Mob_DistanceColor
0,424,string,0,0,Mob_DistanceSize
0,425,string,0,0,Distance Text Size
0,426,string,0,0,Mob_Chams
0,427,string,0,0,Mob_ChamsColor
0,428,string,0,0,Chams Color
0,429,string,0,0,Mob_ChamsTransparency
0,430,string,0,0,RemoteEvent
0,431,string,0,0,rbxassetid://83170627744442
0,432,number,4,0,0.216
0,433,string,0,0,rbxassetid://99785834052081
0,434,string,0,0,rbxassetid://129319150158146
0,435,string,0,0,rbxassetid://75114926121591
0,436,string,0,0,rbxassetid://72795592997118
0,437,string,0,0,rbxassetid://84882180540900
0,438,string,0,0,rbxassetid://91695353081923
0,439,string,0,0,rbxassetid://91841671178746
0,440,number,4,0,0.219
0,441,string,0,0,rbxassetid://102225002431566
0,442,string,0,0,rbxassetid://98961744431023
0,443,string,0,0,rbxassetid://114393492422894
0,444,string,0,0,rbxassetid://72716101431005
0,445,string,0,0,rbxassetid://85964235716367
0,446,number,4,0,0.18
0,447,string,0,0,rbxassetid://138301923963329
0,448,string,0,0,rbxassetid://87069745086938
0,449,string,0,0,rbxassetid://97144244689985
0,450,string,0,0,rbxassetid://86092141229505
0,451,string,0,0,rbxassetid://131943611612712
0,452,string,0,0,rbxassetid://77032242569772
0,453,string,0,0,rbxassetid://123304488838885
0,454,string,0,0,rbxassetid://95592305575287
0,455,number,4,0,0.256
0,456,string,0,0,rbxassetid://97504155433185
0,457,string,0,0,rbxassetid://137901650114553
0,458,string,0,0,rbxassetid://71420013211462
0,459,string,0,0,rbxassetid://73189775256758
0,460,string,0,0,rbxassetid://102790860802603
0,461,string,0,0,rbxassetid://90303043747701
0,462,number,4,0,0.213
0,463,string,0,0,rbxassetid://73033593102525
0,464,string,0,0,rbxassetid://89307684071889
0,465,string,0,0,rbxassetid://115670609737438
0,466,string,0,0,rbxassetid://127716005072935
0,467,string,0,0,rbxassetid://106719097885109
0,468,string,0,0,rbxassetid://125351403307657
0,469,string,0,0,rbxassetid://87673107583059
0,470,string,0,0,rbxassetid://99589308896321
0,471,string,0,0,rbxassetid://93712797216935
0,472,string,0,0,rbxassetid://90648436096048
0,473,string,0,0,rbxassetid://106187325444182
0,474,string,0,0,rbxassetid://113014104453621
0,475,string,0,0,rbxassetid://139174098471434
0,476,number,4,0,0.286
0,477,string,0,0,rbxassetid://118176169991277
0,478,string,0,0,rbxassetid://89332566098222
0,479,string,0,0,rbxassetid://125571123165138
0,480,string,0,0,rbxassetid://125936250279691
0,481,string,0,0,rbxassetid://134137542280552
0,482,string,0,0,rbxassetid://139513647256700
0,483,number,4,0,0.251
0,484,string,0,0,rbxassetid://114630509263415
0,485,string,0,0,rbxassetid://109871824431204
0,486,string,0,0,rbxassetid://113429385792170
0,487,string,0,0,rbxassetid://139374816012669
0,488,string,0,0,rbxassetid://78842969890728
0,489,string,0,0,rbxassetid://81424669180469
0,490,string,0,0,rbxassetid://84893282137796
0,491,string,0,0,rbxassetid://127656671537189
0,492,string,0,0,rbxassetid://95099034924342
0,493,string,0,0,rbxassetid://101953583082493
0,494,string,0,0,rbxassetid://88809233843821
0,495,string,0,0,rbxassetid://131731230162076
0,496,string,0,0,rbxassetid://101604973817807
0,497,string,0,0,rbxassetid://72880223582562
0,498,string,0,0,rbxassetid://133205147259868
0,499,string,0,0,rbxassetid://113268215947804
0,500,string,0,0,rbxassetid://100896894192926
0,501,string,0,0,rbxassetid://131376945188225
0,502,string,0,0,rbxassetid://137815370488524
0,503,string,0,0,rbxassetid://97177191680752
0,504,string,0,0,rbxassetid://115797906268659
0,505,string,0,0,rbxassetid://108574344758700
0,506,number,4,0,0.314
0,507,string,0,0,rbxassetid://116057799213168
0,508,string,0,0,rbxassetid://87415953393018
0,509,string,0,0,rbxassetid://116531395203011
0,510,string,0,0,rbxassetid://83821056766741
0,511,string,0,0,rbxassetid://80951747681281
0,512,string,0,0,rbxassetid://100288926167133
0,513,string,0,0,rbxassetid://102597139088834
0,514,string,0,0,rbxassetid://134181836683161
0,515,string,0,0,rbxassetid://129855748333858
0,516,string,0,0,rbxassetid://98392933263355
0,517,string,0,0,rbxassetid://106013309621307
0,518,string,0,0,rbxassetid://104268439363335
0,519,number,4,0,0.282
0,520,string,0,0,rbxassetid://133512548611881
0,521,string,0,0,rbxassetid://76827947490912
0,522,string,0,0,rbxassetid://99419457549732
0,523,string,0,0,rbxassetid://84627135360921
0,524,string,0,0,rbxassetid://78957003094677
0,525,string,0,0,rbxassetid://105542119244161
0,526,string,0,0,rbxassetid://88464980239593
0,527,string,0,0,rbxassetid://89332259138333
0,528,string,0,0,rbxassetid://126621054776220
0,529,string,0,0,rbxassetid://134212846921544
0,530,string,0,0,rbxassetid://123135962827332
0,531,number,4,0,0.294
0,532,string,0,0,rbxassetid://112091281860543
0,533,string,0,0,rbxassetid://73086768097069
0,534,string,0,0,rbxassetid://89859217236874
0,535,string,0,0,rbxassetid://138838982277418
0,536,string,0,0,rbxassetid://78555663054449
0,537,string,0,0,rbxassetid://101582769423497
0,538,string,0,0,rbxassetid://103523914939071
0,539,string,0,0,rbxassetid://110237638234814
0,540,string,0,0,rbxassetid://133973256915688
0,541,string,0,0,rbxassetid://122357751973562
0,542,string,0,0,rbxassetid://96430744634231
0,543,number,4,0,0.3
0,544,string,0,0,rbxassetid://112280382670167
0,545,string,0,0,rbxassetid://126257103110325
0,546,string,0,0,rbxassetid://70550631174539
0,547,string,0,0,rbxassetid://71244457428229
0,548,string,0,0,rbxassetid://113834682033104
0,549,string,0,0,rbxassetid://93431132327822
0,550,number,4,0,0.367
0,551,string,0,0,rbxassetid://133853808650941
0,552,string,0,0,rbxassetid://116937962567393
0,553,string,0,0,rbxassetid://121073263747297
0,554,string,0,0,rbxassetid://76781925254248
0,555,string,0,0,rbxassetid://98375305489054
0,556,string,0,0,rbxassetid://78653732575949
0,557,string,0,0,rbxassetid://120048428697484
0,558,number,4,0,0.389
0,559,string,0,0,rbxassetid://93357544618400
0,560,string,0,0,rbxassetid://99361142840295
0,561,string,0,0,rbxassetid://78520899606944
0,562,string,0,0,rbxassetid://116907204347021
0,563,string,0,0,rbxassetid://81298915826190
0,564,string,0,0,rbxassetid://118375375261508
0,565,string,0,0,rbxassetid://94912992248206
0,566,string,0,0,rbxassetid://84360547187663
0,567,string,0,0,rbxassetid://117614545746430
0,568,string,0,0,rbxassetid://101362557536797
0,569,string,0,0,rbxassetid://110275308607388
0,570,string,0,0,rbxassetid://105124819044081
0,571,string,0,0,rbxassetid://73600840318198
0,572,string,0,0,rbxassetid://99728779063625
0,573,string,0,0,rbxassetid://82791907545703
0,574,string,0,0,rbxassetid://86706569396350
0,575,string,0,0,rbxassetid://119071326400759
0,576,number,4,0,0.333
0,577,string,0,0,rbxassetid://95187086967174
0,578,string,0,0,rbxassetid://127265672754416
0,579,string,0,0,rbxassetid://81093093791947
0,580,string,0,0,rbxassetid://115096781003171
0,581,string,0,0,rbxassetid://93891386436024
0,582,string,0,0,rbxassetid://118258669929146
0,583,string,0,0,rbxassetid://89475662129258
0,584,string,0,0,rbxassetid://117416560814575
0,585,string,0,0,rbxassetid://82402970804238
0,586,string,0,0,rbxassetid://115840883662190
0,587,string,0,0,rbxassetid://101268939874208
0,588,number,4,0,0.34
0,589,string,0,0,rbxassetid://118339406620980
0,590,string,0,0,rbxassetid://135802138221890
0,591,string,0,0,rbxassetid://119537814529732
0,592,string,0,0,rbxassetid://126943584876522
0,593,string,0,0,rbxassetid://132423234621948
0,594,string,0,0,rbxassetid://130627039807199
0,595,string,0,0,rbxassetid://95241696138937
0,596,string,0,0,rbxassetid://84546143799899
0,597,string,0,0,rbxassetid://111678403609788
0,598,string,0,0,rbxassetid://76907916800109
0,599,string,0,0,rbxassetid://88529291334531
0,600,string,0,0,rbxassetid://88515182783630
0,601,string,0,0,rbxassetid://78940054179950
0,602,string,0,0,rbxassetid://83707871739410
0,603,string,0,0,rbxassetid://89947536068263
0,604,string,0,0,rbxassetid://91342131793707
0,605,string,0,0,rbxassetid://87276698608760
0,606,number,4,1,0
0,607,string,0,0,rbxassetid://112832095441188
0,608,string,0,0,rbxassetid://92559491465927
0,609,string,0,0,rbxassetid://102596372833810
0,610,string,0,0,rbxassetid://135219429513260
0,611,string,0,0,rbxassetid://111619494197919
0,612,string,0,0,rbxassetid://84790818560573
0,613,string,0,0,rbxassetid://88055010695849
0,614,string,0,0,rbxassetid://116948609204236
0,615,string,0,0,rbxassetid://117416838233330
0,616,string,0,0,rbxassetid://130187498552231
0,617,string,0,0,rbxassetid://99528925126794
0,618,string,0,0,rbxassetid://72371046889893
0,619,string,0,0,rbxassetid://80639118737924
0,620,string,0,0,rbxassetid://110406562971902
0,621,string,0,0,rbxassetid://108494510731610
0,622,string,0,0,rbxassetid://123499498138784
0,623,string,0,0,rbxassetid://83003081767769
0,624,string,0,0,rbxassetid://134695284376391
0,625,string,0,0,rbxassetid://94495302830576
0,626,string,0,0,rbxassetid://72652968192920
0,627,string,0,0,rbxassetid://126452972160118
0,628,string,0,0,rbxassetid://79103146300355
0,629,string,0,0,rbxassetid://108437140304259
0,630,string,0,0,rbxassetid://92347535171309
0,631,number,4,0,0.255
0,632,string,0,0,rbxassetid://103478794733427
0,633,string,0,0,rbxassetid://77311081382802
0,634,string,0,0,rbxassetid://119794946808722
0,635,string,0,0,rbxassetid://118374669758371
0,636,string,0,0,rbxassetid://108797839748822
0,637,string,0,0,rbxassetid://117196948797125
0,638,string,0,0,rbxassetid://96430107593955
0,639,string,0,0,rbxassetid://79294213380648
0,640,string,0,0,rbxassetid://128641773780380
0,641,string,0,0,rbxassetid://124983172519493
0,642,string,0,0,rbxassetid://119366440833103
0,643,string,0,0,rbxassetid://116781362921741
0,644,string,0,0,rbxassetid://124298892076543
0,645,string,0,0,rbxassetid://126406892829032
0,646,string,0,0,rbxassetid://107049572669140
0,647,string,0,0,rbxassetid://89263693539259
0,648,string,0,0,rbxassetid://72929563687421
0,649,string,0,0,FistSwing1
0,650,string,0,0,FistSwing2
0,651,string,0,0,FistSwing3
0,652,string,0,0,FistSwing4
0,653,string,0,0,FistRunningAttack
0,654,string,0,0,FistCritical
0,655,string,0,0,FistAerial
0,656,string,0,0,DevilCrusherCritical
0,657,string,0,0,DevilCrusherSwing4
0,658,string,0,0,DevilCrusherSwing3
0,659,string,0,0,DevilCrusherSwing2
0,660,string,0,0,DevilCrusherSwing1
0,661,string,0,0,FleshbreakerSwing1
0,662,string,0,0,FleshbreakerSwing2
0,663,string,0,0,FleshbreakerSwing3
0,664,string,0,0,FleshbreakerSwing4
0,665,string,0,0,AtlasSwing4
0,666,string,0,0,AtlasSwing3
0,667,string,0,0,AtlasSwing2
0,668,string,0,0,AtlasSwing1
0,669,string,0,0,DaggerSwing1
0,670,string,0,0,DaggerSwing2
0,671,string,0,0,DaggerSwing3
0,672,string,0,0,DaggerSwing4
0,673,string,0,0,DaggerRunningAttack
0,674,string,0,0,DaggerCritical
0,675,string,0,0,BloodFiendSwing1
0,676,string,0,0,BloodFiendSwing2
0,677,string,0,0,BloodFiendSwing3
0,678,string,0,0,BloodFiendSwing4
0,679,string,0,0,DualDaggerRunningAttack
0,680,string,0,0,DualDaggerCritical
0,681,string,0,0,UndeadSickleSwing1
0,682,string,0,0,UndeadSickleSwing2
0,683,string,0,0,UndeadSickleSwing3
0,684,string,0,0,UndeadSickleSwing4
0,685,string,0,0,UndeadSickleRunningAttack
0,686,string,0,0,UndeadSickleCritical
0,687,string,0,0,LocustCritical
0,688,string,0,0,SwordSwing1
0,689,string,0,0,SwordSwing2
0,690,string,0,0,SwordSwing3
0,691,string,0,0,SwordSwing4
0,692,string,0,0,SwordRunningAttack
0,693,string,0,0,SwordCritical
0,694,string,0,0,YamadaSwing4
0,695,string,0,0,YamadaSwing3
0,696,string,0,0,YamadaSwing2
0,697,string,0,0,YamadaSwing1
0,698,string,0,0,YamadaRunningAttack
0,699,string,0,0,YukimuraCritical
0,700,string,0,0,NailSwordCritical
0,701,string,0,0,NailSwordSwing3
0,702,string,0,0,NailSwordSwing2
0,703,string,0,0,NailSwordSwing1
0,704,string,0,0,NailSwordSwing4
0,705,string,0,0,NailSwordRunningAttack
0,706,string,0,0,ScarletQueenSwing4
0,707,string,0,0,ScarletQueenSwing3
0,708,string,0,0,ScarletQueenSwing2
0,709,string,0,0,ScarletQueenSwing1
0,710,string,0,0,ScarletQueenCritical
0,711,string,0,0,DualSwordSwing4
0,712,string,0,0,DualSwordSwing3
0,713,string,0,0,DualSwordSwing2
0,714,string,0,0,DualSwordSwing1
0,715,string,0,0,MurasamaSwing4
0,716,string,0,0,MurasamaSwing3
0,717,string,0,0,MurasamaSwing2
0,718,string,0,0,MurasamaSwing1
0,719,string,0,0,MurasamaRunningAttack
0,720,string,0,0,MurasamaUnsheatheCritical
0,721,string,0,0,RotbladeSwing4
0,722,string,0,0,RotbladeSwing3
0,723,string,0,0,RotbladeSwing2
0,724,string,0,0,RotbladeSwing1
0,725,string,0,0,RotbladeRunningAttack
0,726,string,0,0,RotbladeCritical
0,727,string,0,0,5YearSwordSwing4
0,728,string,0,0,5YearSwordSwing3
0,729,string,0,0,5YearSwordSwing2
0,730,string,0,0,5YearSwordSwing1
0,731,string,0,0,5YearSwordCriticalAttack
0,732,string,0,0,5YearSwordRunningAttack
0,733,string,0,0,10YearSwordSwing4
0,734,string,0,0,10YearSwordSwing3
0,735,string,0,0,10YearSwordSwing2
0,736,string,0,0,10YearSwordSwing1
